portfolio_id,return
PF00001001,0.024481829614970425
PF00001004,0.025172079614970422
PF00001009,0.025172079614970422
PF00001013,0.025172079614970422
PF00001014,0.025172079614970422
PF00001015,0.02448929033510136
PF00001017,0.025172079614970422
PF00001023,0.025172079614970422
PF00001024,0.025172079614970422
PF00001025,0.046480558823529416
PF00001028,0.02448929033510136
PF00001032,0.025172079614970422
PF00001036,0.024337484160424968
PF00001041,0.025273751133843496
PF00001045,0.02524102416042497
PF00001047,0.02524102416042497
PF00001049,0.02590948416042497
PF00001053,0.05416342245989305
PF00001060,0.025253569131099458
PF00001067,0.02525951840807387
PF00001068,0.025252992614970427
PF00001069,0.025273751133843496
PF00001077,0.025253569131099458
PF00001078,0.025252992614970427
PF00001085,0.02525275916042497
PF00001086,0.054096657754010694
PF00001087,0.025252992614970427
PF00001088,0.02525275916042497
PF00001092,0.02525951840807387
PF00001095,0.02523830529250044
PF00001099,0.025273751133843496
PF00001100,0.025273751133843496
PF00001104,0.02524102416042497
PF00001105,0.027990967878787874
PF00001107,0.02656560476190476
PF00001108,0.054907934456727994
PF00001112,0.026880604761904757
PF00001119,0.02659326787878788
PF00001123,0.027510967878787883
PF00001126,0.02722096787878788
PF00001132,0.025438212368117552
PF00001135,0.025288079642347933
PF00001145,0.025008247155914588
PF00001148,0.025438212368117552
PF00001153,0.02527932379144101
PF00001155,0.05802759893048128
PF00001161,0.02526735533689556
PF00001164,0.02528584958454446
PF00001165,0.02526735533689556
PF00001171,0.05804359893048129
PF00001178,0.02527932379144101
PF00001179,0.030096000000000005
PF00001180,0.05804359893048129
PF00001194,0.02527909033689556
PF00001199,0.025307582310314086
PF00001198,0.02654776858747282
PF00001203,0.022747435791441013
PF00001204,0.02526463646897103
PF00001209,0.05804359893048129
PF00001210,0.02527932379144101
PF00001218,0.02527932379144101
PF00001220,0.025307582310314086
PF00001223,0.025294284511571945
PF00001225,0.02528584958454446
PF00001227,0.022747435791441013
PF00001230,0.05804359893048129
PF00001233,0.02527932379144101
PF00001236,0.02527932379144101
PF00001238,0.02527932379144101
PF00001239,0.05796240000000001
PF00001241,0.0576264
PF00001243,0.02527932379144101
PF00001244,0.025274771643565664
PF00001245,0.0575234
PF00001253,0.025294284511571945
PF00001255,0.02526463646897103
PF00001258,0.02580433646897103
PF00001260,0.02527932379144101
PF00001262,0.02527932379144101
PF00001264,0.02526735533689556
PF00001265,0.02528584958454446
PF00001270,0.05805266363636365
PF00001274,0.02527909033689556
PF00001277,0.02528584958454446
PF00001282,0.02527990030757004
PF00001283,0.02526463646897103
PF00001285,0.025307582310314086
PF00001288,0.025307582310314086
PF00001290,0.02527932379144101
PF00001294,0.02527990030757004
PF00001296,0.025307582310314086
PF00001303,0.02528584958454446
PF00001305,0.02527932379144101
PF00001306,0.02527932379144101
PF00001309,0.02527932379144101
PF00001310,0.02526735533689556
PF00001312,0.02527932379144101
PF00001313,0.0572832
PF00001316,0.024363815336895557
PF00001319,0.02528584958454446
PF00001324,0.02526735533689556
PF00001325,0.025307582310314086
PF00001331,0.02580433646897103
PF00001333,0.05492435945672799
PF00001334,0.02528584958454446
PF00001335,0.02527932379144101
PF00001340,0.025307582310314086
PF00001345,0.02528584958454446
PF00001348,0.05492435945672799
PF00001352,0.02527932379144101
PF00001354,0.025307582310314086
PF00001355,0.05501260945672799
PF00001356,0.05494160945672799
PF00001368,0.025502015496642088
PF00001370,0.025733172314823905
PF00001372,0.02556819049664209
PF00001375,0.025502015496642088
PF00001382,0.025502015496642088
PF00001384,0.025875852314823904
PF00001388,0.025858528571428573
PF00001389,0.026555457142857147
PF00001391,0.026871600000000002
PF00001412,0.048823
PF00001419,0.04764681680966916
PF00001424,0.029393465909090904
PF00001427,0.029432445909090905
PF00001428,0.029193545909090908
PF00001430,0.029249705909090908
PF00001432,0.050328
PF00001433,0.029121545909090905
PF00001438,0.029140705909090903
